	class_reichweite	class_langstrecke	class_stauraum	class_sitzplaetze_4	class_tag_tag1
Ford-Mustang-Mach-E-SR	1	1	1	1	0
Ford-Mustang-Mach-E-SR	1	1	1	1	0
Honda-E-Advance	0	0	0	1	0
Honda-E-Standard	0	0	0	1	0
Honda-E-Standard	0	0	0	1	0
hyundai-ioniq-5-58-kwh-2wd	1	1	1	1	0
hyundai-ioniq-5-58-kwh-2wd	1	1	1	1	0
hyundai-ioniq-5-58-kwh-2wd	1	1	1	1	0
hyundai-ioniq-5-58-kwh-4wd	1	1	1	1	0
hyundai-ioniq-5-58-kwh-4wd	1	1	1	1	0
hyundai-ioniq-5-58-kwh-4wd	1	1	1	1	0
hyundai-ioniq-5-72-kwh-2wd	1	1	1	1	0
hyundai-ioniq-5-72-kwh-2wd	1	1	1	1	0
hyundai-ioniq-5-72-kwh-2wd	1	1	1	1	0
hyundai-ioniq-5-72-kwh-4wd	1	1	1	1	0
hyundai-ioniq-5-72-kwh-4wd	1	1	1	1	0
hyundai-ioniq-5-72-kwh-4wd	1	1	1	1	0
hyundai-ioniq-5-72-kwh-4wd	1	1	1	1	0
Hyundai-Ioniq-Elektro	1	0	1	1	0
Hyundai-Ioniq-Elektro	1	0	1	1	0
Hyundai-Kona-Elektro-39-kWh	1	1	1	1	0
Hyundai-Kona-Elektro-39-kWh	1	1	1	1	0
Hyundai-Kona-Elektro-64-kWh	1	1	1	1	0
Hyundai-Kona-Elektro-64-kWh	1	1	1	1	0
jaguar-i-pace-ev320-sondermodell	1	1	1	1	0
jaguar-i-pace-ev320-sondermodell	1	1	1	1	0
Jaguar-I-Pace-EV400	1	1	1	1	0
Jaguar-I-Pace-EV400	1	1	1	1	0
Jaguar-I-Pace-EV400	1	1	1	1	0
Jaguar-I-Pace-EV400	1	1	1	1	0
Kia-e-Niro-39-kwh	1	1	1	1	0
Kia-e-Niro-39-kwh	1	1	1	1	0
Kia-e-Niro-39-kwh	1	1	1	1	0
Kia-e-Niro-64-kWh	1	1	1	1	0
Kia-e-Niro-64-kWh	1	1	1	1	0
Kia-e-Niro-64-kWh	1	1	1	1	0
Kia-e-Soul-39-kWh	1	1	1	1	0
Kia-e-Soul-64-kWh	1	1	1	1	0
Kia-e-Soul-64-kWh	1	1	1	1	0
kia-ev6-58-kwh-rwd	1	1	1	1	0
kia-ev6-58-kwh-rwd	1	1	1	1	0
kia-ev6-77-kwh-awd	1	1	1	1	0
kia-ev6-77-kwh-awd	1	1	1	1	0
kia-ev6-77-kwh-awd	1	1	1	1	0
kia-ev6-77-kwh-rwd	1	1	1	1	0
kia-ev6-77-kwh-rwd	1	1	1	1	0
kia-ev6-gt	1	1	1	1	0
kia-ev6-gt	1	1	1	1	0
kia-ev6-gt	1	1	1	1	0
kia-niro-ev-64-kwh	1	1	1	1	0
kia-niro-ev-64-kwh	1	1	1	1	0
kia-niro-ev-64-kwh	1	1	1	1	0
lexus-rz-450e	1	1	1	1	0
lexus-rz-450e	1	1	1	1	0
lexus-ux-300e	1	0	1	1	0
mazda-mx-30	0	0	1	1	0
mazda-mx-30	0	0	1	1	0
mercedes-benz-eqa-250	1	1	1	1	0
mercedes-benz-eqa-250	1	1	1	1	0
mercedes-benz-eqa-250-plus	1	1	1	1	0
mercedes-benz-eqa-250-plus	1	1	1	1	0
mercedes-benz-eqa-250-plus	1	1	1	1	0
mercedes-benz-eqa-300-4matic	1	1	1	1	0
mercedes-benz-eqa-300-4matic	1	1	1	1	0
